"","A","S","E","O","R","T"
"788","adult","F","uni","emp","big","other"
"789","old","M","uni","self","big","car"
"790","young","F","uni","emp","big","car"
"791","old","F","high","emp","big","train"
"792","old","M","high","emp","big","car"
"793","adult","M","uni","emp","big","train"
"794","old","F","high","emp","small","train"
"795","young","M","high","emp","small","train"
"796","old","F","high","emp","big","car"
"797","adult","F","high","emp","big","car"
"798","adult","M","high","emp","big","car"
"799","young","M","high","emp","big","car"
"800","adult","F","high","emp","big","other"
"801","young","M","uni","emp","big","car"
"802","adult","F","high","emp","small","train"
"803","adult","M","uni","emp","big","car"
"804","adult","F","high","emp","big","train"
"805","adult","M","high","emp","small","car"
"806","old","F","high","emp","big","car"
"807","young","F","uni","emp","big","train"
"808","adult","M","high","emp","big","other"
"809","young","M","high","emp","big","train"
"810","young","F","high","emp","big","car"
"811","adult","M","high","emp","big","car"
"812","adult","M","high","emp","big","car"
"813","adult","M","high","emp","small","train"
"814","young","M","uni","emp","big","train"
"815","old","M","high","emp","big","car"
"816","young","M","high","emp","big","car"
"817","adult","M","high","emp","big","car"
"818","adult","M","high","emp","big","car"
"819","adult","F","high","self","big","car"
"820","young","M","high","emp","small","car"
"821","young","M","high","emp","small","car"
"822","adult","M","high","emp","big","car"
"823","young","M","uni","emp","big","other"
"824","old","F","high","self","big","car"
"825","old","M","high","emp","big","other"
"826","young","M","uni","emp","big","train"
"827","adult","M","high","emp","small","car"
"828","adult","M","uni","emp","small","car"
"829","adult","M","uni","emp","big","car"
"830","adult","M","high","emp","big","car"
"831","young","F","uni","emp","big","train"
"832","young","F","high","emp","small","train"
"833","young","F","uni","emp","small","train"
"834","young","M","high","emp","small","train"
"835","young","F","high","emp","small","train"
"836","old","F","high","emp","small","train"
"837","old","F","uni","emp","big","car"
"838","adult","F","high","emp","big","other"
"839","old","M","high","emp","big","car"
"840","adult","F","high","emp","big","train"
"841","adult","M","high","emp","big","train"
"842","young","F","high","emp","big","car"
"843","old","M","high","emp","big","other"
"844","young","M","high","emp","small","train"
"845","adult","M","uni","emp","big","train"
"846","old","F","high","emp","big","car"
"847","adult","M","high","emp","big","other"
"848","adult","M","high","emp","big","car"
"849","young","M","high","emp","big","car"
"850","adult","F","uni","emp","small","car"
"851","young","F","uni","emp","big","train"
"852","adult","M","uni","self","small","car"
"853","young","F","uni","emp","big","car"
"854","adult","M","uni","emp","small","car"
"855","old","M","high","emp","big","car"
"856","young","F","uni","emp","small","car"
"857","old","M","high","emp","big","car"
"858","adult","F","high","emp","small","train"
"859","young","F","high","emp","small","train"
"860","young","M","high","emp","big","other"
"861","young","F","uni","emp","big","car"
"862","adult","M","high","emp","small","train"
"863","young","M","uni","emp","big","car"
"864","adult","M","high","emp","big","car"
"865","old","F","high","emp","small","other"
"866","old","F","high","emp","big","other"
"867","young","F","high","emp","big","car"
"868","young","F","high","emp","big","other"
"869","adult","F","high","emp","big","car"
"870","adult","F","uni","emp","small","car"
"871","young","F","uni","emp","big","train"
"872","adult","M","high","emp","big","other"
"873","adult","F","high","emp","big","train"
"874","old","F","uni","emp","small","car"
"875","adult","M","uni","emp","small","train"
"876","adult","M","uni","emp","big","car"
"877","young","M","high","emp","small","car"
"878","adult","M","uni","emp","big","train"
"879","young","M","uni","emp","small","other"
"880","adult","M","uni","emp","big","other"
"881","adult","M","high","emp","big","car"
"882","old","F","high","emp","big","car"
"883","old","M","high","emp","big","car"
"884","adult","F","high","emp","big","car"
"885","adult","M","high","emp","small","car"
"886","young","M","high","self","big","car"
"887","young","M","high","emp","big","car"
"888","old","M","high","emp","small","car"
"889","old","M","high","emp","big","car"
"890","old","M","high","emp","big","other"
"891","old","M","high","emp","small","car"
"892","adult","F","uni","emp","small","train"
"893","adult","M","high","emp","big","car"
"894","young","M","high","emp","big","car"
"895","adult","F","uni","emp","big","car"
"896","adult","M","high","emp","big","car"
"897","adult","M","high","emp","small","car"
"898","adult","F","high","emp","big","car"
"899","adult","M","uni","emp","big","train"
"900","adult","F","high","emp","big","car"
"901","adult","F","high","emp","big","car"
"902","adult","F","high","emp","big","train"
"903","old","M","high","emp","small","car"
"904","young","M","high","self","big","car"
"905","young","M","high","emp","small","car"
"906","adult","F","high","emp","big","train"
"907","adult","M","high","emp","small","train"
"908","adult","F","high","emp","big","train"
"909","adult","M","uni","emp","big","car"
"910","adult","F","high","emp","small","train"
"911","adult","F","high","emp","big","car"
"912","adult","M","high","emp","small","other"
"913","young","F","uni","self","big","car"
"914","young","M","high","emp","big","car"
"915","young","F","high","emp","big","car"
"916","old","M","high","emp","big","car"
"917","adult","M","high","emp","big","car"
"918","adult","F","high","emp","big","car"
"919","adult","M","high","emp","big","train"
"920","adult","M","high","emp","big","car"
"921","adult","F","uni","emp","big","train"
"922","adult","F","high","emp","big","car"
"923","adult","F","high","emp","big","car"
"924","adult","M","high","emp","big","train"
"925","old","M","high","emp","big","other"
"926","adult","F","high","emp","big","train"
"927","old","M","high","emp","big","car"
"928","young","M","high","emp","big","other"
"929","adult","M","uni","emp","small","car"
"930","adult","M","uni","emp","big","train"
"931","old","F","high","emp","small","car"
"932","adult","M","high","emp","big","car"
"933","adult","F","high","emp","small","car"
"934","old","F","high","emp","small","car"
"935","adult","M","high","emp","big","car"
"936","adult","M","high","emp","big","other"
"937","young","M","high","emp","small","car"
"938","old","M","high","emp","big","car"
"939","adult","F","uni","emp","big","train"
"940","old","M","high","emp","big","car"
"941","old","F","high","emp","big","car"
"942","adult","F","high","emp","small","car"
"943","old","F","high","emp","big","car"
"944","young","F","uni","emp","big","train"
"945","adult","M","high","emp","big","other"
"946","old","M","high","emp","big","car"
"947","young","F","high","emp","big","car"
"948","adult","M","high","emp","big","car"
"949","young","M","high","emp","small","car"
"950","young","F","uni","self","big","car"
"951","old","M","high","self","small","other"
"952","young","F","high","emp","small","car"
"953","adult","F","high","emp","big","train"
"954","adult","M","high","emp","big","car"
"955","young","M","high","emp","big","other"
"956","adult","M","uni","emp","big","car"
"957","young","F","high","emp","big","car"
"958","adult","F","high","emp","big","car"
"959","adult","M","high","emp","small","car"
"960","adult","M","high","emp","small","car"
"961","young","F","high","self","big","car"
"962","adult","M","high","emp","small","car"
"963","old","M","high","emp","big","car"
"964","adult","M","high","emp","big","car"
"965","adult","M","uni","emp","small","car"
"966","old","F","high","emp","big","other"
"967","old","F","uni","emp","big","train"
"968","adult","F","uni","emp","big","car"
"969","old","F","high","emp","big","train"
"970","young","M","high","emp","small","other"
"971","young","F","high","emp","big","car"
"972","adult","M","uni","emp","big","train"
"973","adult","F","uni","emp","big","train"
"974","young","F","high","emp","big","car"
"975","old","F","high","emp","big","car"
"976","adult","M","high","emp","big","car"
"977","young","M","uni","emp","big","other"
"978","adult","F","high","emp","big","train"
"979","adult","M","high","emp","big","car"
"980","old","M","high","emp","big","car"
"981","adult","M","uni","emp","big","train"
"982","adult","M","high","emp","small","other"
"983","old","M","high","emp","big","car"
"984","adult","F","uni","emp","big","car"
"985","old","F","high","emp","small","car"
"986","old","M","high","emp","big","car"
"987","old","M","high","emp","big","car"
"988","old","F","high","emp","small","car"
"989","young","M","high","emp","big","other"
"990","adult","M","uni","emp","big","car"
"991","old","F","high","emp","small","car"
"992","adult","F","high","emp","big","car"
"993","adult","F","high","emp","small","train"
"994","adult","F","uni","emp","big","train"
"995","young","M","uni","emp","big","car"
"996","adult","M","uni","emp","small","train"
"997","young","F","uni","emp","small","car"
"998","adult","M","uni","emp","big","train"
"999","adult","M","uni","self","big","train"
"1000","young","M","high","emp","big","car"
"1001","young","F","high","emp","big","train"
"1002","adult","F","high","emp","big","car"
"1003","young","F","high","emp","big","other"
"1004","adult","M","uni","emp","big","other"
"1005","young","M","high","emp","big","other"
"1006","old","M","uni","emp","small","car"
"1007","young","M","high","emp","big","car"
"1008","adult","M","high","emp","big","car"
